analyte,value_ug_L,endpoint,species_id,source_doc,source_page,verified,notes
Al,1253.57,acute_LC50,Sp_001,Warne2000,2,False,pH>6.5; MR (Warne 2000 p.2). ACR not stated; default 10 used.
Al,9212.49,acute_LC50,Sp_002,Warne2000,2,False,
Al,92086.92,acute_LC50,Sp_003,Warne2000,2,False,
Al,8355.22,acute_LC50,Sp_004,Warne2000,2,False,
Al,55500,acute_LC50,Sp_005,Warne2000,2,False,
Al,35000,acute_LC50,Sp_006,Warne2000,2,False,
Al,599,acute_LC50,Sp_007,Warne2000,2,False,
Al,3600,acute_LC50,Sp_008,Warne2000,2,False,
Al,512.05,acute_LC50,Sp_009,Warne2000,2,False,
As,890,chronic_NOEC,Sp_001,Warne2000,3,False,As(III) freshwater HR (Warne 2000 p.3). Several 961 values suspicious — needs re-check.
As,6751.14,chronic_NOEC,Sp_002,Warne2000,3,False,
As,955,chronic_NOEC,Sp_003,Warne2000,3,False,
As,290.81,chronic_NOEC,Sp_004,Warne2000,3,False,
As,961,chronic_NOEC,Sp_005,Warne2000,3,False,
As,9250.92,chronic_NOEC,Sp_006,Warne2000,3,False,
As,961,chronic_NOEC,Sp_007,Warne2000,3,False,
As,8420,chronic_NOEC,Sp_008,Warne2000,3,False,
As,417.45,chronic_NOEC,Sp_009,Warne2000,3,False,
As,4284.89,chronic_NOEC,Sp_010,Warne2000,3,False,
As,961,chronic_NOEC,Sp_011,Warne2000,3,False,
As,3823,chronic_NOEC,Sp_012,Warne2000,3,False,
As,15.74,chronic_NOEC,Sp_013,Warne2000,3,False,
Cd,10.22,chronic_NOEC,Sp_001,Warne2000,6,False,Freshwater HR (Warne 2000 p.6).
Cd,3.2,chronic_NOEC,Sp_002,Warne2000,6,False,
Cd,0.38,chronic_NOEC,Sp_003,Warne2000,6,False,
Cd,0.08,chronic_NOEC,Sp_004,Warne2000,6,False,
Cd,1.65,chronic_NOEC,Sp_005,Warne2000,6,False,
Cd,2.46,chronic_NOEC,Sp_006,Warne2000,6,False,
Cd,121.68,chronic_NOEC,Sp_007,Warne2000,6,False,
Cd,3.31,chronic_NOEC,Sp_008,Warne2000,6,False,
Cd,8.2,chronic_NOEC,Sp_009,Warne2000,6,False,
Cd,23.21,chronic_NOEC,Sp_010,Warne2000,6,False,
Cd,0.83,chronic_NOEC,Sp_011,Warne2000,6,False,
Cd,0.52,chronic_NOEC,Sp_012,Warne2000,6,False,
Cd,474,chronic_NOEC,Sp_013,Warne2000,6,False,
Cd,112,chronic_NOEC,Sp_014,Warne2000,6,False,
Cd,250.36,chronic_NOEC,Sp_015,Warne2000,6,False,
Cd,0.63,chronic_NOEC,Sp_016,Warne2000,6,False,
Cd,20.72,chronic_NOEC,Sp_017,Warne2000,6,False,
Cd,0.49,chronic_NOEC,Sp_018,Warne2000,6,False,
Cd,5.72,chronic_NOEC,Sp_019,Warne2000,6,False,
Cd,243.8,chronic_NOEC,Sp_020,Warne2000,6,False,
Cd,766.88,chronic_NOEC,Sp_021,Warne2000,6,False,
Pb,67.6,chronic_NOEC,Sp_001,Warne2000,12,False,Freshwater HR (Warne 2000 p.12).
Pb,5.65,chronic_NOEC,Sp_002,Warne2000,12,False,
Pb,11.12,chronic_NOEC,Sp_003,Warne2000,12,False,
Pb,27.95,chronic_NOEC,Sp_004,Warne2000,12,False,
Pb,27.89,chronic_NOEC,Sp_005,Warne2000,12,False,
Pb,19.48,chronic_NOEC,Sp_006,Warne2000,12,False,
Pb,5.11,chronic_NOEC,Sp_007,Warne2000,12,False,
Pb,28.4,chronic_NOEC,Sp_008,Warne2000,12,False,
Mn,220325.1,acute_LC50,Sp_001,Warne2000,13,False,Freshwater MR; acute data (Warne 2000 p.13). ACR=9.1.
Mn,981817.7,acute_LC50,Sp_002,Warne2000,13,False,
Mn,21116.65,acute_LC50,Sp_003,Warne2000,13,False,
Mn,38700,acute_LC50,Sp_004,Warne2000,13,False,
Mn,28000,acute_LC50,Sp_005,Warne2000,13,False,
Mn,51000,acute_LC50,Sp_006,Warne2000,13,False,
Mn,506698.1,acute_LC50,Sp_007,Warne2000,13,False,
Mn,310000,acute_LC50,Sp_008,Warne2000,13,False,
Mn,1040000,acute_LC50,Sp_009,Warne2000,13,False,
Mn,130000,acute_LC50,Sp_010,Warne2000,13,False,
Mn,33800,acute_LC50,Sp_011,Warne2000,13,False,
Mn,38700,acute_LC50,Sp_012,Warne2000,13,False,
Hg,12.65,chronic_NOEC,Sp_001,Warne2000,14,False,Freshwater HR (Warne 2000 p.14). Total inorganic Hg.
Hg,71.13,chronic_NOEC,Sp_002,Warne2000,14,False,
Hg,34.69,chronic_NOEC,Sp_003,Warne2000,14,False,
Hg,1.0412,chronic_NOEC,Sp_004,Warne2000,14,False,
Hg,29.15,chronic_NOEC,Sp_005,Warne2000,14,False,
Hg,2.569,chronic_NOEC,Sp_006,Warne2000,14,False,
Hg,48.86,chronic_NOEC,Sp_007,Warne2000,14,False,
Se,276.33,chronic_NOEC,Sp_001,Warne2000,16,True,Freshwater HR total Se (Warne 2000 p.16-17). n=5 including 16500.62 outlier. Warne noted outlier but kept it (removing it leaves n=4 < minimum). Bioaccumulation: log Kow >4; ANZECC adopted HC1 not HC5.
Se,69.91,chronic_NOEC,Sp_002,Warne2000,16,True,
Se,14,chronic_NOEC,Sp_003,Warne2000,16,True,
Se,120,chronic_NOEC,Sp_004,Warne2000,16,True,
Se,16500.62,chronic_NOEC,Sp_005,Warne2000,16,True,
g-BHC_chronic,150,chronic_NOEC,Sp_001,Warne2000,131,True,Lindane HR chronic SSD (Warne 2000 p.131). HC5=0.86 µg/L → TV=0.9 µg/L. REJECTED by ANZECC as insufficiently protective vs acute toxicity. Use g-BHC_acute for ANZECC-matching fit.
g-BHC_chronic,2.67,chronic_NOEC,Sp_002,Warne2000,131,True,
g-BHC_chronic,12,chronic_NOEC,Sp_003,Warne2000,131,True,
